"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Apr 8, 2018  6:00 PM",13,7,2,21,12,0,8.8,114.4,-1,4,33,18,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018  7:00 PM",11,12,2,29,8,0,8.8,96.8,-1,4,33,19,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018  8:00 PM",11,5,1,74,12,0,8.8,96.8,-1,4,33,20,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018  9:00 PM",1,6,2,51,5,0,8.8,8.8,-1,4,33,21,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 8, 2018 10:00 PM",0,5,1,0,7,0,8.8,0,-1,4,33,22,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  6:00 PM",18,17,4,8,11,1,13.25,238.5,-1,3,32,18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  7:00 PM",20,8,4,10,17,1,13.25,265,-1,3,32,19,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  8:00 PM",15,17,4,17,11,1,13.25,198.75,-1,3,32,20,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018  9:00 PM",8,12,4,6,14,1,13.25,106,-1,3,32,21,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 9, 2018 10:00 PM",0,1,0,0,0,1,13.25,0,-1,3,32,22,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
